1773,31,1,30
1776,42,1,41
1785,13,2,11
1788,86,11,75
1791,89,11,78
1797,34,1,33
1800,15,1,14
1803,17,4,13
1809,43,1,42
1818,48,3,45
1821,19,1,18
1824,30,1,29
1827,22,1,21
1830,21,1,20
1833,43,1,42
1836,30,1,29
1839,16,2,14
1842,32,1,31
1845,5,1,4
1848,42,6,36
1851,11,1,10
1854,38,1,37
1857,35,2,33
1869,3,1,2
1872,39,1,38
1875,63,1,62
1878,19,1,18
1881,22,1,21
1893,36,1,35
1896,13,7,6
1905,9,1,8
1911,22,1,21
1914,15,1,14
1920,15,1,14
1923,30,1,29
1926,23,4,19
1929,19,5,14
1932,6,1,5
1935,35,1,34
1938,46,1,45
1941,50,1,49
1947,24,1,23
1950,38,1,37
1953,36,1,35
1956,25,1,24
1959,29,1,28
1965,15,1,14
1968,50,1,49
1971,50,1,49
1974,24,1,23
1980,35,1,34
1986,27,11,16
1989,40,1,39
1992,29,1,28
1998,35,1,34
2004,36,1,35
2007,25,1,24
2010,25,1,24
2013,37,1,36
2019,27,1,26
2022,27,1,26
2028,14,7,7
2037,64,1,63
2040,12,4,8
2043,10,1,9
2046,26,4,22
2049,32,2,30
2052,52,1,51
2055,15,1,14
2058,22,1,21
2061,65,1,64
2064,9,2,7
2067,18,1,17
2070,17,1,16
2079,25,1,24
2085,31,1,30
2091,6,3,3
2094,18,15,3
2100,12,1,11
2103,17,1,16
2106,29,1,28
2109,17,8,9
2112,5,1,4
2115,12,4,8
2118,13,4,9
2121,13,4,9
2124,26,4,22
2127,19,5,14
2130,14,4,10
2133,14,4,10
2136,12,4,8
2139,19,5,14
2142,12,4,8
2145,12,4,8
2148,14,4,10
2151,13,5,8
2154,12,5,7
2157,11,4,7
2160,21,5,16
2163,11,4,7
2166,11,4,7
2172,22,1,21
2175,25,2,23
2178,10,3,7
2181,18,3,15
2184,70,3,67
2187,56,9,47
2190,4,1,3
2199,14,1,13
2202,11,1,10
2208,8,1,7
2211,60,1,59
2217,18,2,16
2220,4,2,2
2223,18,1,17
2232,31,1,30
2235,57,1,56
2238,31,1,30
2241,51,4,47
2244,57,1,56
2247,36,1,35
2250,22,1,21
2253,41,7,34
2256,15,1,14
2259,26,1,25
2262,24,1,23
2268,35,1,34
2271,6,1,5
2274,27,1,26
2277,36,1,35
2280,46,2,44
2286,12,1,11
2289,14,1,13
2292,10,1,9
2295,18,2,16
2298,29,1,28
2301,59,1,58
2304,46,2,44
2310,27,1,26
2313,13,1,12
2316,36,1,35
2319,53,1,52
2322,20,3,17
2346,51,3,48
2352,27,1,26
2358,16,2,14
2361,15,2,13
2364,13,2,11
2367,6,1,5
2373,55,1,54
2382,58,1,57
2385,20,2,18
2388,41,3,38
2394,19,1,18
2397,22,1,21
2400,33,1,32
2403,12,1,11
2406,10,1,9
2409,34,1,33
2412,19,1,18
2415,28,2,26
2421,64,1,63
2424,29,1,28
2427,8,2,6
2430,72,1,71
2433,47,2,45
2436,35,2,33
2439,4,1,3
2442,55,1,54
2445,53,3,50
2448,13,1,12
2469,10,1,9
2472,5,1,4
2475,55,1,54
2478,18,1,17
2481,30,1,29
2484,18,15,3
2487,10,2,8
2490,22,2,20
2496,72,1,71
2499,34,1,33
2502,114,1,113
2505,29,2,27
2508,61,7,54
2514,12,3,9
2517,54,3,51
2523,39,1,38
2526,8,1,7
2529,66,1,65
2532,19,5,14
2535,13,4,9
2538,7,1,6
2541,10,1,9
2544,43,2,41
2547,40,1,39
2550,9,1,8
2556,14,5,9
2559,3,1,2
2562,3,1,2
2565,16,2,14
2568,22,5,17
2571,25,1,24
2577,22,5,17
2586,23,1,22
2598,3,1,2
2607,23,1,22
2610,36,1,35
2613,41,1,40
2616,74,2,72
2619,9,1,8
2622,13,1,12
2625,22,5,17
2628,73,4,69
2631,11,1,10
2634,6,1,5
2637,15,1,14
2643,7,1,6
2646,18,2,16
2649,95,3,92
2652,15,2,13
2655,15,1,14
2661,14,2,12
2664,45,1,44
2670,44,4,40
2673,99,3,96
2676,12,2,10
2679,35,4,31
2682,99,3,96
2685,16,1,15
2688,13,1,12
2691,6,1,5
2694,19,1,18
2697,14,1,13
2706,16,1,15
2709,42,1,41
2715,53,5,48
2721,54,1,53
2724,10,2,8
2733,4,1,3
2736,11,1,10
2739,28,1,27
2742,11,1,10
2745,14,1,13
2748,25,1,24
2751,17,2,15
2757,18,2,16
2760,7,3,4
2763,22,1,21
2766,5,2,3
2772,60,5,55
2775,65,4,61
2784,65,4,61
2790,9,1,8
2793,91,4,87
